Scenario_ID,Scenario_Name,Type,Priority,Given,When,Then,Related_AC
TS-01,Happy Path - Valid TFA Process,Functional,P1,"A registered user is ready to login",The user enters valid email and password,"The system prompts for TFA, sends OTP to registered contact, and requires OTP verification before granting access",AC1
TS-02,Valid OTP Submission,Functional,P1,"An OTP has been sent to the user's registered contact",The user receives and enters the correct OTP,"The system validates the OTP, grants access to the account, and establishes a secure session",AC1
TS-03,Multiple Login Attempts in Session,Functional,P1,"A user is logged in to their account","The user logs out and attempts to login again with valid credentials","The system again prompts for TFA authentication immediately, requiring new OTP verification",AC3
TS-04,Alternate Flow - OTP Request Retry,Functional,P2,"An OTP has been sent to a user",The user requests a new OTP before expiration,"The system generates a new OTP, invalidates the previous OTP, and sends the new OTP",AC2
TS-05,Invalid OTP Code,Negative,P1,"An OTP has been sent and is valid",The user enters an incorrect OTP,"The system displays an error message, denies access, and allows the user to request a new OTP",AC2
TS-06,Empty OTP Field,Validation,P1,"The OTP prompt is displayed on the login form",The user submits the form without entering any OTP,"The system displays a validation error message stating OTP field is mandatory",AC1
TS-07,OTP Field - Only Alphabetic Characters,Negative,P1,"The OTP input field expects numeric values",The user enters alphabetic or special characters in the OTP field,"The system rejects the input, displays an error, and prompts for numeric-only input",AC2
TS-08,OTP Timeout - Expired OTP,Edge,P1,"An OTP has been sent to the user",The user attempts to enter the OTP after expiration window (5-10 minutes),"The system rejects the OTP as expired, displays an error message, and prompts the user to request a new OTP",AC4
TS-09,Multiple Invalid OTP Attempts,Negative,P1,"A user has received an OTP",The user enters an incorrect OTP multiple times (3+ failed attempts),"The system either locks the attempt temporarily or prompts for alternative authentication method",AC2
TS-10,Maximum OTP Length Boundary,Boundary,P2,"An OTP input field is displayed",The user enters an OTP longer than the maximum expected length (e.g., 8 digits instead of 6),"The system either truncates or rejects the input with an error message",AC2
TS-11,Minimum OTP Length Boundary,Boundary,P2,"An OTP input field is displayed",The user enters an OTP shorter than the minimum required length,"The system displays an error and prompts for the correct length OTP",AC2
TS-12,OTP with Leading/Trailing Whitespace,Edge,P2,"An OTP input field is displayed",The user enters an OTP with leading or trailing spaces," The system should strip whitespace and validate the OTP correctly",AC2
TS-13,Session Established After Valid OTP,Functional,P2,"A user has successfully entered a valid OTP",The system verifies the OTP successfully,"The user is granted access to their account and session tokens are generated and stored",AC5
TS-14,TFA Applies to All User Types,Functional,P1,"Users with different roles (admin, user, manager) are attempting to login",Each user enters valid credentials,"TFA is required for all user types without exception before granting access",AC1
TS-15,System Clock Out of Sync,Edge,P2,"The system and OTP service have misaligned timestamps by more than acceptable tolerance",A user attempts to validate an OTP,"The system either resynchronizes clocks or rejects the OTP with guidance to contact support",AC4
