Scenario_ID,Scenario_Name,Type,Priority,Given,When,Then,Related_AC
TS-01,TFA Triggered for Every Login - Configuration,Functional,P1,"System is configured for 'TFA every login' mode",A registered user attempts to login with valid credentials,"TFA is prompted immediately for every login attempt without exception",AC1
TS-02,Multiple Consecutive Logins - Every Mode,Functional,P1,"TFA frequency is set to 'every login'","User logs in, logs out, and attempts to login again within the same day","TFA is required again immediately for the second login attempt",AC1
TS-03,TFA Triggered Daily - Configuration,Functional,P1,"System is configured for 'TFA daily' mode",A registered user completes their first login of the day with TFA,"On subsequent logins the same day, TFA should not be required",AC2
TS-04,Multiple Logins in Daily Mode - Same Day,Functional,P1,"TFA frequency is set to 'daily' and user logged in once that day",The same user logs out and logs in again later the same day,"TFA should not be triggered for the second login on the same day",AC2
TS-05,TFA Reset at Midnight - Daily Mode,Functional,P2,"TFA frequency is set to 'daily' and user has already logged in today",The system clock advances to the next calendar day at midnight,"On the next day, TFA should be required again for login",AC2
TS-06,Configuration Change by Admin - Every to Daily,Functional,P1,"System is configured to 'TFA every login'; admin changes it to 'daily'",Admin applies the configuration change,"Existing sessions are unaffected; new logins follow the 'daily' frequency rule",AC3
TS-07,Configuration Change by Admin - Daily to Every,Functional,P1,"System is configured to 'TFA daily'; admin changes it to 'every login'",Admin applies the configuration change,"Active users on next login will be prompted for TFA per the new 'every login' rule",AC3
TS-08,Configuration Audit Logging,Functional,P2,"Admin changes TFA frequency configuration",The configuration change is applied,"The system logs the change with timestamp, admin user ID, previous setting, and new setting",AC3
TS-09,Configuration Takes Effect Immediately for New Sessions,Functional,P1,"TFA frequency is changed from 'daily' to 'every login'",Existing sessions remain active; new login attempt is made,"New sessions respect the new frequency setting; existing sessions are not retroactively affected",AC3
TS-10,Concurrent Configuration Changes,Negative,P2,"Two admins attempt to change TFA frequency configuration simultaneously",Both configuration change requests reach the system at the same time,"System handles gracefully: last-write-wins or provides a locking/conflict resolution mechanism",AC3
TS-11,Invalid Configuration Value,Negative,P1,"Admin attempts to set TFA frequency to an unsupported value (e.g., 'weekly')","Admin submits the invalid configuration",System rejects the change and displays error; valid options are clearly presented,AC3
TS-12,Configuration Changed During Active Sessions,Edge,P1,"Multiple users are actively logged in","Administrator changes TFA frequency configuration",Active sessions continue under existing rules; next login attempts apply new frequency rules,AC3
TS-13,Timezone Handling - Daily Mode,Edge,P2,"TFA frequency is set to 'daily' with users in multiple timezones",Users in different timezones login around midnight local time,"Daily TFA reset is applied correctly based on user's local timezone, not server timezone",AC2
TS-14,Daylight Saving Time - Daily Mode,Edge,P2,"TFA frequency is set to 'daily' and DST transition occurs",Users login during DST transition time,"System handles DST change correctly without duplicating or skipping TFA prompts",AC2
TS-15,Default Configuration on Fresh Install,Functional,P2,"A new system installation is deployed",System initializes without explicit configuration,"Default TFA frequency is set to 'every login' (recommended secure default)",AC1
TS-16,Configuration Persistence After System Restart,Functional,P1,"TFA frequency is set to a specific value",System is restarted (power cycle, deployment),"Configuration persists; TFA frequency remains as previously configured",AC3
TS-17,Rollback Configuration Change,Functional,P2,"Admin changes TFA frequency configuration and later wants to revert","Admin initiates a rollback to previous configuration","Previous configuration is restored; users' next login attempts follow the restored frequency rule",AC3
TS-18,Configuration Visibility to Admins,Functional,P2,"An administrator accesses system settings",Admin navigates to TFA configuration section,"Current TFA frequency setting is clearly displayed with options to change it",AC3
TS-19,Report - TFA Frequency Over Time,Functional,P3,"Admin needs to audit TFA frequency history","Admin generates a report of configuration changes",The system provides a detailed log showing all frequency changes with timestamps and who made them,AC3
TS-20,Performance Impact - Frequent Configuration Changes,Performance,P2,"Admin changes TFA frequency configuration multiple times rapidly",Rapid configuration changes are applied,"System processes configuration changes efficiently without performance degradation or race conditions",AC3
