Scenario_ID,Scenario_Name,Type,Priority,Given,When,Then,Related_AC
TS-01,OTP Delivered Successfully,Functional,P1,"A user is ready for OTP delivery after entering valid credentials",TFA is triggered,"An OTP is delivered within 10 seconds to the registered contact (SMS/Email)",AC1
TS-02,OTP Delivery via SMS,Functional,P1,"A user has SMS registered as their OTP delivery method",The user completes login credentials entry,"An OTP SMS is delivered to the registered phone number within acceptable time",AC1
TS-03,OTP Delivery via Email,Functional,P1,"A user has email registered as their OTP delivery method",The user completes login credentials entry,"An OTP email is delivered to the registered email address within acceptable time",AC1
TS-04,OTP Not Received - Network Failure,Negative,P1,"An OTP delivery request is made",The SMS/Email service experiences a network failure,"The system displays an error message to the user and offers to retry OTP delivery",AC2
TS-05,OTP Not Received - Service Unavailable,Negative,P1,"An OTP is being delivered",The third-party OTP service is temporarily unavailable,"The system displays a user-friendly error message and provides retry option",AC2
TS-06,Wrong Phone/Email on Record,Negative,P1,"A user's registered contact information is outdated or incorrect",TFA is triggered and OTP delivery is attempted,"The system attempts delivery to the invalid address and logs the failure; user should be notified to update contact info",AC2
TS-07,Multiple OTP Requests - Sequential,Functional,P2,"A user requests an OTP",The user clicks 'Resend OTP' button multiple times in sequence,"A new OTP is generated and sent each time; previous OTPs are invalidated",AC3
TS-08,Multiple OTP Requests - Rapid Fire,Negative,P2,"A user is requesting OTP codes",The user rapidly clicks 'Resend OTP' 5+ times within a few seconds,"The system implements rate limiting, allows limited retries, and displays guidance or locks further attempts",AC3
TS-09,OTP Duplicate Prevention,Edge,P2,"Multiple OTP requests are made in quick succession",The system processes concurrent OTP requests from the same user,"Only one unique OTP is generated and sent; duplicate requests are queued or rejected appropriately",AC3
TS-10,System Load - High Concurrent Users,Integration,P1,"Multiple users (100+) are logging in simultaneously",OTP requests are triggered for all users,"All OTP deliveries are processed without delays or dropped requests; delivery SLA is maintained",AC1
TS-11,System Load - Peak Hour Performance,Integration,P2,"The system is experiencing peak login traffic",OTP delivery service is processing requests at maximum capacity,"System maintains acceptable delivery time (within 10 seconds) without degrading performance",AC1
TS-12,OTP Delivery Logging - Successful,Functional,P2,"An OTP is successfully delivered",The delivery transaction completes,"The system logs the successful delivery with timestamp, user ID, and delivery method",AC4
TS-13,OTP Delivery Logging - Failed,Functional,P2,"An OTP delivery attempt fails",The delivery service returns an error,"The system logs the failed attempt with error reason, timestamp, and retry count for audit purposes",AC4
TS-14,OTP Service Provider Failover,Integration,P1,"The primary OTP service provider is down",A user requests OTP delivery,"The system automatically failovers to secondary OTP provider and successfully delivers the OTP",AC1
TS-15,OTP Format Validation,Validation,P2,"An OTP is generated",The OTP is sent to the user,"The OTP matches expected format (numeric, correct length 4-6 digits) and is readable",AC1
TS-16,OTP Resend Button Visibility,Functional,P2,"A user is on the OTP entry screen",Time passes and user hasn't entered OTP yet,"A 'Resend OTP' button is available and user can quickly request another OTP without restarting login",AC3
TS-17,OTP Expiry - Just Before Limit,Boundary,P2,"An OTP is about to expire (at 9 minutes 59 seconds)",The user submits the OTP for validation,"The system accepts the OTP and grants access (assuming standard 10-minute expiry)",AC2
TS-18,OTP Expiry - Just After Limit,Boundary,P2,"An OTP has just expired (past 10 minutes)",The user submits the OTP for validation,"The system rejects the OTP as expired and prompts user to request a new one",AC2
