Scenario_ID,Scenario_Name,Type,Priority,Given,When,Then,Related_AC
TS-01,Single Tab Login - Best Practice,Functional,P1,A user has multiple tabs open,The user closes all tabs except one and logs in to that single tab,"Login completes successfully, OTP is delivered without issues, and secure session is established",AC1
TS-02,Tab Duplication After Successful Login,Functional,P1,A user is logged in to one tab,The user duplicates the tab to create multiple instances of the same session,All duplicated tabs maintain the user's session and provide full access without re-authentication,AC2
TS-03,Session Token Sharing Across Duplicated Tabs,Functional,P2,A user has logged in and duplicated the tab multiple times,The user navigates to different sections of the application across multiple tabs,All tabs share the same session token and maintain synchronized session state,AC2
TS-04,Single Tab Logout Impact on Duplicated Tabs,Functional,P2,A user is logged in with multiple duplicated tabs active,The user clicks logout on one of the duplicated tabs,System behavior is consistent: either all tabs logout or only the current tab logs out (design-dependent),AC4
TS-05,Multiple Simultaneous Login Attempts - Same Account,Negative,P1,A user has multiple tabs open and is attempting to login from each tab,OTP is triggered for each tab attempting to login simultaneously,System handles gracefully without failing OTP delivery; provides clear guidance or error messages,AC3
TS-06,OTP Delivery with Multiple Pending Login Attempts,Negative,P1,A user is attempting to login from 3+ tabs at the same time,OTP delivery is triggered for each concurrent login attempt,System delivers OTP correctly without confusion; only one valid session is created after OTP verification,AC3
TS-07,Session Inconsistency Detection,Edge,P2,A user is logged in through duplicated tabs and system session state is modified in one tab,The user performs an action in another tab that depends on session state,The system either maintains consistency or handles state mismatch gracefully with a warning,AC2
TS-08,Tab Closure and Session Persistence,Functional,P2,A user is logged in with multiple active tabs,The user closes some tabs but keeps others open,Remaining tabs continue to maintain the user's session without interruption,AC2
TS-09,Cross-Tab Navigation,Functional,P2,A user is logged in and viewing different pages on multiple tabs,The user switches between tabs and continues working,Session remains active and consistent; user data is current across all tabs,AC2
TS-10,Browser Refresh on Duplicated Tab,Functional,P2,A user has multiple duplicated tabs with active sessions,The user refreshes one of the duplicated tabs,The refreshed tab maintains the session and does not require re-authentication,AC2
TS-11,New Tab Opening After Login,Functional,P2,A user is already logged in to one tab,The user opens a new tab and navigates to the application,The new tab either maintains the session (if cookies/tokens allow) or requires re-authentication per design,AC2
TS-12,Private/Incognito Tabs - Session Isolation,Edge,P1,A user is logged in one regular tab and opens a private/incognito tab,The user attempts to access the application on the private tab,The private tab should require separate authentication as sessions are isolated by browser design,AC1
TS-13,Multiple User Accounts - Different Tabs,Negative,P1,"User A is logged in on one tab, attempting to login as User B on another tab",Both login attempts are concurrent,System should prevent simultaneous active sessions or clearly manage separate sessions without cross-contamination,AC3
TS-14,File Upload Across Tabs,Functional,P2,A user is logged in with multiple tabs showing form with file upload,The user uploads a file on one tab while accessing the system on another tab,File uploads are processed independently; session is maintained on both tabs without conflicts,AC2
TS-15,Session Timeout on One Tab,Edge,P2,User has multiple tabs open; session timeout is triggered on one tab due to inactivity,The user switches to another tab and attempts to perform an action,System detects expired session and either expands timeout across all tabs or requires re-login (per design),AC4
TS-16,Back Button Navigation After Login,Functional,P2,A user completes login on one tab and browser history contains pre-login pages,The user clicks the back button multiple times on a duplicated tab,System prevents navigation back to login page and maintains secure session state,AC2
TS-17,Popup/Modal Behavior Across Tabs,Functional,P2,A user has multiple tabs open and a modal dialog appears on one tab,The user switches to another tab and then back,Modal state is preserved or handled appropriately; session continues normally,AC2
TS-18,Session Conflict - One Tab Logs Out User Globally,Edge,P1,A user has multiple tabs active; one tab logs out the user,Other tabs attempt to access protected resources,Remaining tabs either show logout confirmation or attempt a graceful redirect to login based on system design,AC4
