Test Case ID,Test Scenario,Module,Objective,Pre-requisites,Test Steps,Expected Result (ER),Actual Result,Platform,Status,Severity,Priority,Remark
TC_001,Verify login with valid credentials and TFA,Login/TFA,Ensure user can log in successfully with TFA,User account exists,1. Open login page; 2. Enter valid username and password; 3. Click Login; 4. Enter valid OTP sent to registered contact; 5. Click Submit,User is redirected to dashboard after OTP verification,,,Web,,High,P1
TC_002,Verify login with invalid OTP,Login/TFA,Ensure invalid OTP is rejected,User account exists,1. Open login page; 2. Enter valid username and password; 3. Click Login; 4. Enter invalid OTP; 5. Click Submit,Error message 'Invalid OTP' shown; access denied,,,Web,,High,P1
TC_003,Verify login with blank OTP field,Login/TFA,Validate mandatory OTP field,None,1. Open login page; 2. Enter valid username and password; 3. Click Login; 4. Leave OTP field blank; 5. Click Submit,Error message 'OTP required' shown,,,Web,,High,P1
TC_004,Verify login with alphabetic/special characters in OTP field,Login/TFA,Validate numeric-only OTP field,None,1. Open login page; 2. Enter valid username and password; 3. Click Login; 4. Enter alphabetic/special characters in OTP field; 5. Click Submit,Error message 'OTP must be numeric' shown,,,Web,,High,P1
TC_005,Verify OTP expiration handling,Login/TFA,Ensure expired OTP is rejected,User account exists,1. Open login page; 2. Enter valid username and password; 3. Click Login; 4. Wait for OTP to expire; 5. Enter expired OTP; 6. Click Submit,Error message 'OTP expired' shown; user prompted to request new OTP,,,Web,,High,P1
TC_006,Verify multiple login attempts require TFA each time,Login/TFA,Ensure TFA triggers for every login,User account exists,1. Login with valid credentials and OTP; 2. Logout; 3. Login again with valid credentials; 4. Enter OTP,TFA is required for each login; access granted after OTP verification,,,Web,,High,P1
TC_007,Verify alternate flow for OTP request retry,Login/TFA,Ensure new OTP can be requested before expiration,User account exists,1. Open login page; 2. Enter valid credentials; 3. Click Login; 4. Click 'Resend OTP' before expiration; 5. Enter new OTP,"New OTP is generated, previous OTP invalidated; access granted after new OTP verification",,,Web,,Medium,P2
TC_008,Verify multiple invalid OTP attempts lock account or prompt alternative authentication,Login/TFA,Ensure brute-force prevention,User account exists,1. Open login page; 2. Enter valid credentials; 3. Click Login; 4. Enter invalid OTP 3+ times,Account is temporarily locked or alternative authentication prompted,,,Web,,High,P1
TC_009,Verify OTP length boundaries (min/max),Login/TFA,Validate OTP length,User account exists,1. Open login page; 2. Enter valid credentials; 3. Click Login; 4. Enter OTP shorter/longer than required; 5. Click Submit,Error message for incorrect OTP length shown,,,Web,,Medium,P2
TC_010,Verify OTP with leading/trailing whitespace,Login/TFA,Ensure whitespace is handled,User account exists,1. Open login page; 2. Enter valid credentials; 3. Click Login; 4. Enter OTP with spaces; 5. Click Submit,Whitespace is stripped; OTP validated correctly,,,Web,,Medium,P2
TC_011,Verify session established after valid OTP,Login/TFA,Ensure session tokens generated,User account exists,1. Complete login and OTP verification,Session tokens generated; user granted access,,,Web,,Medium,P2
TC_012,Verify TFA applies to all user types,Login/TFA,Ensure TFA for all roles,Admin/user/manager accounts exist,1. Login as each user type; 2. Complete TFA,TFA required for all user types,,,Web,,High,P1
TC_013,Verify system clock out of sync handling,Login/TFA,Ensure OTP validation with clock sync,User account exists; system clock misaligned,1. Open login page; 2. Enter valid credentials; 3. Click Login; 4. Enter OTP; 5. Click Submit,System resynchronizes or rejects OTP with guidance,,,Web,,Medium,P2
TC_014,Verify OTP delivered successfully via SMS/email,OTP Delivery,Ensure OTP is delivered promptly,User account exists with valid contact,1. Open login page; 2. Enter valid credentials; 3. Click Login,OTP delivered within 10 seconds to registered contact,,,Web,,High,P1
